site	reviewer	Name of Site	dopsat amplitude	diel signal (y/n)	accept/reject/examine	Reasoning (ocean / estuary / spring / dam / other)	NOTES
nwis_03254520 	Ted	LICKING RIVER AT HWY 536 NEAR ALEXANDRIA, KY	5	y	examine	low-resolution O2 data; strange hydrograph	
nwis_03289193 	Ted	WOLF RUN AT OLD FRANKFORT PIKE AT LEXINGTON, KY	100	y	examine	600% O2 saturation?	short record; overall strange O2; urban
nwis_03293500 	Ted	M FK BEARGRASS CR AT LEXINGTON RD AT LOUISVILLE,KY	20	y	examine		low oxygen periods; Part of Louisville sensor network.
nwis_03293510 	Ted	BEARGRASS CREEK AT RIVER ROAD AT LOUISVILLE, KY	30	y	examine		low oxygen periods; Part of Louisville sensor network.
nwis_03294570 	Ted	MILL CREEK AT ORELL ROAD NEAR LOUISVILLE, KY	20	y	examine		low oxygen periods; Part of Louisville sensor network.
nwis_03297900 	Ted	FLOYDS FORK NEAR PEWEE VALLEY, KY	30	y	examine		bad parts to the record; some believable low O2, some not believable.
nwis_03298200 	Ted	FLOYDS FORK NEAR MT WASHINGTON, KY			examine		sensor problems?
nwis_03298300 	Ted	PENNSLYVANIA RUN AT MT WASHINGTON RD NR LOUISVILLE			examine		Dam upstream; low O2 during low flow
nwis_03302000 	Ted	POND CREEK NEAR LOUISVILLE, KY	30	y	examine		low O2 periods
nwis_03339000 	Natalie	VERMILION RIVER NEAR DANVILLE, IL	20	Y	examine		<1 yr of data
nwis_03512000 	Emily S	OCONALUFTEE RIVER AT BIRDTOWN, NC			examine	there's doobs, but not dopsat_calc- and there is DO data	
nwis_04125550 	Emily S	MANISTEE RIVER NEAR WELLSTON, MI		Maybe	examine		DO seems very erratic 
nwis_04136000 	Emily S	AU SABLE RIVER NEAR RED OAK, MI	80-110	Y	examine	 	looks good, but right below a dam
nwis_04137500 	Emily S	AU SABLE RIVER NEAR AU SABLE, MI			examine	right below dam; erratic DO	sometime diel signal is present, but may be related to dam?
nwis_04167150 	Emily S	MIDDLE RIVER ROUGE AT DEARBORN HEIGHTS, MI	80-105	Y	examine	short record - might not be enough data	
nwis_04174500 	Emily S	HURON RIVER AT ANN ARBOR, MI	90-120	Y	examine		d/s of a dam- influencing Q and DO can be erratic 
nwis_04188496 	Emily S	Eagle Creek above Findlay OH	90-120	Y	examine	some periods with diel signal but alot of messy days in btwn	
nwis_05082500 	Dave	RED RIVER OF THE NORTH AT GRAND FORKS, ND	5 - 15	maybe	examine	random checks of 3 summer periods indicated one good signal, but the otehr 2 had poor diel signal	
nwis_05420500 	Dave	Mississippi River at Clinton, IA	7	y	examine		about 3 miles downstream of L&D 13 and record started in 2015.
nwis_06805500 	Dave	Platte River at Louisville, Nebr.	130	y	examine	daily fluctuations inf flow can exceed 20% on a large stream	
nwis_06818000 	Dave	Missouri River at St. Joseph, MO	4	y	examine	2  month record april and may 2015	
nwis_06893890 	Dave	East Fork Little Blue River near Blue Springs, MO	20	y	examine	Immediately downstream from reservoir (Blue Sporings lake)	
nwis_07075270 	Natalie	South Fork of Little Red River near Scotland, AR	10	Y	examine	other	diel signal not present during low/zero flow periods
nwis_07239450 	Natalie	North Canadian River near Calumet, OK	200	Y	examine		discharge shows prolonged peaks unexplained by surrounding landuse
nwis_07241000 	Natalie	North Canadian River blw Lk Overholser nr OKC, OK	120	Y	examine	dam	downstream of dam but not evidence by discharge. Periods where DO goes to zero
nwis_07241520 	Natalie	North Canadian River at Britton Rd at OKC, OK	150	Y	examine		diel signal in discharge and low flow periods. gaps in DO dataset
nwis_07241550 	Natalie	North Canadian River near Harrah, OK	225	Y	examine		diel signal in discharge and low flow periods. gaps in DO dataset
nwis_07257500 	Natalie	Illinois Bayou near Scottsville, AR	30	Y	examine		diel signal in DO less clear during low flow
nwis_07261090 	Natalie	Cypress Creek nr Birdtown, AR	140	Y	examine		diel signal in DO when zero flow (wetland?)
nwis_07263296 	Natalie	Maumelle River near Wye, AR	70	Y	examine		diel signal in DO when zero flow (wetland?)
nwis_07332622 	Natalie	Bois D'Arc Ck at FM 409 nr Honey Grove, TX	60	Y	examine		diel signal in DO when zero flow (wetland?)
nwis_07381600 	Natalie	Lower Atchafalaya River at Morgan City, LA	5	Y	examine		periods with diel DO signals
nwis_08048000 	Natalie	W Fk Trinity Rv at Ft Worth, TX	120	Y	examine		diel signal not always clear
nwis_08420500 	Emily S	Pecos Rv at Pecos, TX	80-130	Yes	examine	very short record with Q and DO	intermittent; often Q=0
nwis_08447000 	Emily S	Pecos Rv nr Sheffield, TX	90-120	Yes	examine		DO tends to be erratic 
nwis_11463000 	Emily B	RUSSIAN R NR CLOVERDALE CA	50	y	examine	other	large data gaps no full years
nwis_11463682 	Emily B	RUSSIAN R A JIMTOWN CA	100	y	examine	other	odd DO - large annual gaps for no obvious reason
nwis_11465240 	Emily B	DRY C BLW LAMBERT BR NR GEYSERVILLE CA	20	y	examine	other	odd DO - large annual gaps for no obvious reason
nwis_14182500 	Emily B	LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR	18	y	examine	other	<1 year of data
nwis_01193050 	Jim	CONNECTICUT RIVER AT MIDDLE HADDAM, CT		Y	reject	estuary	
nwis_01382210 	Jim	Pequannock River at Oak Ridge NJ	20	Y	reject	dam	
nwis_01388000 	Jim	Ramapo River at Pompton Lakes NJ		Y	reject	dam	
nwis_01408167 	Jim	Barnegat Bay at Route 528 bridge at Mantoloking NJ			reject	estuary	
nwis_01433500 	Jim	MONGAUP RIVER NEAR MONGAUP NY	10	y	reject	intense hydropeaking, 12-24 DO peaks	
nwis_01484080 	Jim	MURDERKILL RIVER AT FREDERICA, DE			reject	estuary	very tidal
nwis_01484085 	Jim	MURDERKILL RIVER AT BOWERS, DE			reject	estuary	very tidal
nwis_02042222 	Emily B	JAMES RIVER ABV WEYANOKE POINT NR CHARLES CITY, VA			reject	estuary	
nwis_0209303205 	Emily B	NEW RIVER BELOW HWY17 BRIDGE AT JACKSONVILLE, NC			reject	estuary	
nwis_02110550 	Emily B	Waccamaw River above Conway, SC			reject	estuary	
nwis_02110701 	Emily B	Crabtree Swamp at Conway, SC			reject	estuary	
nwis_02110704 	Emily B	Waccamaw River at the Conway marina			reject	estuary	
nwis_0212378405 	Emily B	Tillery Dam on the PeeDee River			reject	dam	hydropeaking drives diel O2 change
nwis_02135000 	Emily B	LITTLE PEE DEE R. AT GALIVANTS FERRY, SC			reject	dam	
nwis_02168504 	Emily B	SALUDA RIVER BELOW LK MURRAY DAM NR COLUMBIA, SC			reject	dam	
nwis_02198920 	Emily B	SAVANNAH RIVER AT GA 25, AT PORT WENTWORTH, GA			reject	estuary	
nwis_02198950 	Emily B	MIDDLE RIVER AT GA 25 AT PORT WENTWORTH, GA			reject	estuary	
nwis_021989773 	Emily B	SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA			reject	estuary	
nwis_021989792 	Emily B	LITTLE BACK RIVER AT GA 25 AT PORT WENTWORTH, GA			reject	estuary	
nwis_02231254 	Emily B	ST MARY'S RIVER AT I-95, NEAR KINGSLAND, GA			reject	estuary	
nwis_02231291 	Emily B	NASSAU RIVER NEAR TISONIA, FL			reject	estuary	
nwis_02234500 	Emily B	ST. JOHNS RIVER NEAR SANFORD, FL			reject	other	just above a coastal lake - bidirectional flow
nwis_02235500 	Emily B	BLUE SPRINGS NEAR ORANGE CITY, FL			reject	other	not flowing
nwis_02236000 	Emily B	ST. JOHNS RIVER NEAR DE LAND, FL			reject	other	not flowing
nwis_02236125 	Emily B	ST. JOHNS RIVER AT ASTOR, FL			reject	estuary	
nwis_02244040 	Emily B	ST. JOHNS R AT BUFFALO BLUFF NEAR SATSUMA, FL			reject	estuary	
nwis_02245260 	Emily B	DEEP CREEK AT SPUDS, FL			reject	estuary	
nwis_02293249 	Emily B	McIntyre Creek at Sanibel Island			reject	ocean	
nwis_02319302 	Emily B	MADISON BLUE SPRING NR BLUE SPRINGS, FL			reject	other	wonky DO data
nwis_02322688 	Emily B	BLUE HOLE SPRING NR HILDRETH, FL			reject	spring	spring
nwis_02323502 	Emily B	FANNING SPRINGS NR WILCOX FLA			reject	estuary	
nwis_023432415 	Emily B	CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA			reject	dam	
nwis_02397530 	Emily B	COOSA RIVER AT STATE LINE, AL/GA			reject	other	lake
nwis_03027500 	Ted	East Branch Clarion River at Dam	6	y	reject	Dam	
nwis_03036000 	Ted	Mahoning Creek at Mahoning Creek Dam	15	y	reject	Dam	
nwis_03058000 	Ted	West Fork River below Stonewall Jackson Dam	15	y	reject	Dam	
nwis_03321500 	Emily S	GREEN RIVER AT LOCK 1 AT SPOTTSVILLE, KY			reject	dam	name says it all
nwis_03430200 	Emily S	STONES RIVER AT US HWY 70 NEAR DONELSON, TN			reject	dam	
nwis_03432350 	Emily S 	HARPETH RIVER AT FRANKLIN, TN			reject	less than 1 year of data	
nwis_03432400 	Emily S	HARPETH RIVER BELOW FRANKLIN, TN			reject	less than 1 year of data	
nwis_03460795 	Emily S	PIGEON R BL POWER PLANT NR WATERVILLE, NC			reject	dam	
nwis_03612600 	Emily S	OHIO RIVER AT OLMSTED			reject	erratic and record <5 months	
nwis_04024000 	Emily S	St Louis River at Cloquet		N	reject	dam influenced	erratic record; DO sat higher at night
nwis_04087170 	Emily S	MILWAUKEE RIVER AT MOUTH AT MILWAUKEE, WI			reject	freshwater estuary	
nwis_04092750 	Emily S	INDIANA HARBOR CANAL AT EAST CHICAGO, IN			reject	freshwater estuary	
nwis_04095090 	Emily S	PORTAGE-BURNS WATERWAY AT PORTAGE, IN			reject	freshwater estuary	
nwis_04124200 	Emily S	MANISTEE RIVER NEAR MESICK, MI		N	reject	right below dam; erratic DO	
nwis_04136500 	Emily S	AU SABLE RIVER AT MIO, MI		N	reject	right below dam; erratic DO	
nwis_04137005 	Emily S	AU SABLE RIVER NEAR CURTISVILLE, MI		N	reject	right below dam; erratic DO	site looks like its below a dam (mis-sited on a cul de sac)
nwis_04157005 	Emily S	SAGINAW RIVER AT HOLLAND AVENUE AT SAGINAW, MI		sometimes	reject	some negative Q days- freshwater estuary and erratic DO patterns 	
nwis_04249000 	Emily S	OSWEGO RIVER AT LOCK 7, OSWEGO NY		Y	reject	lock & dam; flat nighttime DO	
nwis_05524500 	Dave	IROQUOIS RIVER NEAR FORESMAN, IN	1	n	reject		record started in 2015
nwis_06807000 	Dave	Missouri River at Nebraska City, NE	3	n	reject		
nwis_07061290 	Natalie	E. Fk. Black R. bl Lower Taum Sauk Reservoir	30	Y	reject	dam	
nwis_07164500 	Natalie	Arkansas River at Tulsa, OK	120	Y	reject	dam	
nwis_07198000 	Natalie	Illinois River near Gore, OK	110	Y	reject	dam	
nwis_072632966 	Natalie	Lake Maumelle at State Hwy 10 near Wye, AR			reject	dam	
nwis_07374000 	Natalie	Mississippi River at Baton Rouge, LA		N 	reject		
nwis_08155500 	Natalie	Barton Spgs at Austin, TX		N 	reject	other	no diel pattern
nwis_08317400 	Emily S	RIO GRANDE BELOW COCHITI DAM, NM			reject	dam	
nwis_11126000 	Emily B	SANTA YNEZ R NR SANTA YNEZ CA	80	yes	reject	other	less than 12 mos overlap between DO and Q
nwis_11285500 	Emily B	TUOLUMNE R A WARDS FERRY BR NR GROVELAND CA			reject	other	in arm of reservoir, lots of data gaps and regulated flow causing diel hydro change
nwis_11313433 	Emily B	DUTCH SLOUGH BL JERSEY ISLAND RD A JERSEY ISLAND			reject	estuary	
nwis_11337190 	Emily B	SAN JOAQUIN R A JERSEY POINT CA			reject	estuary	
nwis_11447650 	Emily B	SACRAMENTO R A FREEPORT CA			reject	tidal	
nwis_11447830 	Emily B	SUTTER SLOUGH A COURTLAND CA			reject	tidal	
nwis_11447850 	Emily B	STEAMBOAT SLOUGH NR WALNUT GROVE CA			reject	tidal	
nwis_11447890 	Emily B	SACRAMENTO R AB DELTA CROSS CHANNEL CA			reject	tidal	
nwis_11455315 	Emily B	CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA			reject	tidal	
nwis_11455350 	Emily B	CACHE SLOUGH A RYER ISLAND			reject	tidal	
nwis_12101100 	Emily B	LAKE TAPPS DIVERSION AT DIERINGER, WA			reject	other	see title
nwis_13207500 	Emily B	DRY CREEK NEAR EAGLE ID			reject	other	less than 1 year and data look sketchy
nwis_14152000 	Emily B	MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR			reject	other	only a few weeks of data
nwis_14162500 	Emily B	MCKENZIE RIVER NEAR VIDA, OR			reject	other	only a few weeks of data
nwis_14181500 	Emily B	NORTH SANTIAM RIVER AT NIAGARA, OR			reject	dam	
nwis_14202650 	Emily B	WAPATO CREEK AT SW GASTON ROAD, AT GASTON, OR			reject	other	managed wetland, bidirectional flow
nwis_14211720 	Natalie	WILLAMETTE RIVER AT PORTLAND, OR		N	reject	other	no diel signal
nwis_411955088280601 	Natalie	HANSON GRAVEL PIT AT CULVERT NEAR MORRIS, IL	80	Y	reject	dam	downstream of lake
nwis_04121970 	Emily S	MUSKEGON RIVER NEAR CROTON, MI			reject 		either lake outflow or regulated; erratic DO signal
nwis_09041400 	Emily S	MUDDY CRK BLW WOLFORD MTN RESER. NR KREMMLING, CO		Yes	reject 	dam 	
nwis_02323566 	Emily B	MANATEE SPRING NR CHIEFLAND FLA			reject 	spring	spring
nwis_04231600 	Emily S	GENESEE RIVER AT FORD STREET BRIDGE, ROCHESTER NY		Y	reject 	highly erratic Q, often erratic DO, esp in winter	
