site	reviewer	Name of Site	dopsat amplitude	diel signal (y/n)	accept/reject/examine	Reasoning (ocean / estuary / spring / dam / other)	NOTES
nwis_02208450 	Emily B	ALCOVY RIVER ABOVE COVINGTON, GA	10	yes	accept		regulated hydrograph - perhaps recreational flows???
nwis_02208493 	Emily B	CORNISH CREEK AT HAZELBRAND RD NR COVINGTON, GA	10	yes	accept		
nwis_02234000 	Emily B	ST. JOHNS RIVER ABOVE LAKE HARNEY NEAR GENEVA, FL	15	yes	accept		very strong seasonal signal
nwis_02264000 	Emily B	CYPRESS CREEK AT VINELAND, FL	15	yes	accept		
nwis_02264100 	Emily B	BONNET CREEK NEAR VINELAND, FL	120	yes	accept		
nwis_02266300 	Emily B	REEDY CREEK NEAR VINELAND, FL	5	yes	accept		suspect this is blackwater
nwis_02336120 	Emily B	N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA	5	yes	accept		very flashy urban hydrograph with limited impact of storms on diel O2
nwis_02336152 	Emily B	SOUTH FORK PEACHTREE AT CASA RD, NR CLARKSTON, GA	40	yes	accept		very flashy urban hydrograph 
nwis_023362095 	Emily B	BURNT FORK CR AT MILLWOOD WAY NEAR CLARKSTON, GA	20	yes	accept		very flashy urban hydrograph 
nwis_02336240 	Emily B	S.F. PEACHTREE CREEK JOHNSON RD, NEAR ATLANTA, GA	25	yes	accept		very flashy urban hydrograph 
nwis_02336300 	Emily B	PEACHTREE CREEK AT ATLANTA, GA	50	yes	accept		very flashy urban hydrograph 
nwis_02336313 	Emily B	WOODALL CREEK AT DEFOORS FERRY RD, AT ATLANTA, GA	20	yes	accept		very flashy urban hydrograph, great storm recovery patterns
nwis_02336360 	Emily B	NANCY CREEK AT RICKENBACKER DRIVE, AT ATLANTA, GA	40	yes	accept		very flashy urban hydrograph, great storm recovery patterns
nwis_02336410 	Emily B	NANCY CREEK AT WEST WESLEY ROAD, AT ATLANTA, GA	15	yes	accept		very flashy urban hydrograph, great storm recovery patterns
nwis_02336526 	Emily B	PROCTOR CREEK AT JACKSON PARKWAY, AT ATLANTA, GA	12	yes	accept		very flashy urban hydrograph, great storm recovery patterns
nwis_02336728 	Emily B	UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA	50	yes	accept		very flashy urban hydrograph, great storm recovery patterns
nwis_02337170 	Emily B	CHATTAHOOCHEE RIVER NEAR FAIRBURN, GA	10	yes	accept		very flashy urban hydrograph, great storm recovery patterns
nwis_02423130 	Emily B	CAHABA RIVER AT TRUSSVILLE, AL	60	yes	accept		
nwis_02423160 	Emily B	CAHABA RIVER NEAR WHITES CHAPEL AL	55	yes	accept		very flashy urban hydrograph, great storm recovery patterns
nwis_02423397 	Emily B	LITTLE CAHABA RIVER BELOW LEEDS, AL	20	yes	accept		very flashy urban hydrograph, little impact of storms
nwis_02423496 	Emily B	CAHABA RIVER NEAR HOOVER, AL	50	yes	accept		
nwis_02455980 	Emily B	TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL	25	yes	accept		
nwis_02457595 	Emily B	FIVEMILE CREEK NEAR REPUBLIC, AL	70	yes	accept		
nwis_02458450 	Emily B	VILLAGE CREEK AT AVENUE W AT ENSLEY, AL	130	yes	accept		
nwis_03007800 	Ted	Allegheny River at Port Allegheny	60	y	accept		
nwis_03025500 	Ted	Allegheny River at Franklin	100	y	accept		
nwis_03034000 	Ted	Mahoning Creek at Punxatawny	35	y	accept		
nwis_03061000 	Ted	West Fork River at Enterprise, WV	60	y	accept		
nwis_03067510 	Ted	Shavers Fork near Cheat Bridge, WV	60	y	accept		
nwis_03072655 	Ted	Monongahela River near Masontown, PA	30	y	accept		
nwis_03073000 	Ted	South Fork Tenmile Creek at Jefferson, PA	60	y	accept		
nwis_03098600 	Ted	Mahoning River below West Ave at Youngstown, OH	15	y	accept		
nwis_03105500 	Ted	Beaver River at Wampum, PA	50	y	accept		
nwis_03106000 	Ted	Connoquenessing Creek near Zelienople, PA	70	y	accept		
nwis_03121850 	Ted	Huff Run at Mineral City, OH	10	y	accept		
nwis_03183500 	Ted	GREENBRIER RIVER AT ALDERSON, WV	40	y	accept		
nwis_03219500 	Ted	Scioto River near Prospect, OH	100	y	accept		
nwis_03228300 	Ted	Big Walnut Creek at Sunbury, OH	60	y	accept		
nwis_03259757 	Ted	W Fk Mill Creek at West Fork Road at Cincinnati OH	100	y	accept		spotty data but otherwise good
nwis_03259813 	Ted	W Fk Mill Creek at Hille Park at Cincinnati OH	50	y	accept		spotty data but otherwise good
nwis_03277075 	Ted	GUNPOWDER CR AT CAMP ERNST RD NR UNION, KY	80	y	accept		
nwis_03277130 	Ted	MUD LICK CR AT HWY 42 NR BEAVERLICK, KY	100	y	accept		small flashy stream; not urban?
nwis_03292470 	Ted	HARRODS CREEK AT HIGHWAY 329 NR GOSHEN, KY.	40	y	accept		super flashy hydrograph; not urban; Upstream part of Louisville sensor network.
nwis_03292474 	Ted	GOOSE CREEK AT OLD WESTPORT RD NR ST MATTHEWS, KY	60	y	accept		urban; small impoundment upstream; hydrograph okay; Part of Louisville sensor network.
nwis_03292475 	Ted	GOOSE CREEK AT US HWY 42 NEAR GLENVIEW ACRES, KY	30	y	accept		flashy urban; Part of Louisville sensor network.
nwis_03292480 	Ted	LITTLE GOOSE CREEK NEAR HARRODS CREEK, KY	20	y	accept		Part of Louisville sensor network.
nwis_03292500 	Ted	SOUTH FORK BEARGRASS CREEK AT LOUISVILLE, KY	60	y	accept		Part of Louisville sensor network.
nwis_03293000 	Ted	M FK BEARGRASS CR AT OLD CANNONS LN AT LOUISVILLE,KY	30	y	accept		Part of Louisville sensor network.
nwis_03293530 	Ted	MUDDY FK AT MOCKINGBIRD VALLEY RD AT LOUISVILLE,KY	30	y	accept		Part of Louisville sensor network.
nwis_03297800 	Ted	CEDAR CREEK AT HWY 1442 NEAR SHEPHERDSVILLE, KY	50	y	accept		
nwis_03298000 	Ted	FLOYDS FORK AT FISHERVILLE, KY	20	y	accept		low O2 periods
nwis_03298135 	Ted	CHENOWETH RUN AT RUCKRIEGAL PARKWAY, KY	60	y	accept		low O2 periods
nwis_03298150 	Ted	CHENOWETH RUN AT GELHAUS LANE NEAR FERN CREEK, KY	50	y	accept		
nwis_03298250 	Ted	CEDAR CREEK AT THIXTON ROAD NEAR LOUISVILLE, KY	40	y	accept		low O2 periods
