# Received from Ted Stets by email on 7/1/2015
# Received by Ted from James Falcone
# Original title: pts640-w-comid5
nwis_id	comid_best	comid_confidence
11046102	20351687	LEAST_SURE
12101100	23981225	LEAST_SURE
453604122060000	23736119	LEAST_SURE
01073389	5848650	MAYBE2
01194750	7702872	MAYBE2
01304057	9509806	MAYBE2
01304562	9496582	MAYBE2
01374019	6216172	MAYBE2
01382210	6246352	MAYBE2
01467029	4488292	MAYBE2
01475548	4495680	MAYBE2
01477050	4496300	MAYBE2
01480065	4652176	MAYBE2
01483177	4653694	MAYBE2
01484080	8074904	MAYBE2
01484085	8075804	MAYBE2
01484525	8407597	MAYBE2
01484680	8409355	MAYBE2
01487150	8391556	MAYBE2
01570500	4710000	MAYBE2
01579550	4731587	MAYBE2
02042222	10067525	MAYBE2
02101726	8869974	MAYBE2
02110400	9069012	MAYBE2
02110550	9069104	MAYBE2
02110701	9071598	MAYBE2
02160991	9707918	MAYBE2
02162035	9707984	MAYBE2
02167600	9869876	MAYBE2
02167716	9869896	MAYBE2
02168500	9869878	MAYBE2
02168504	9869858	MAYBE2
02171637	166756763	MAYBE2
02171645	9660548	MAYBE2
02198950	20107201	MAYBE2
02198955	20107203	MAYBE2
02203960	6333710	MAYBE2
02204037	6333794	MAYBE2
02207160	6333546	MAYBE2
02208450	6331754	MAYBE2
02208493	6331758	MAYBE2
02217643	1047417	MAYBE2
02231254	18257723	MAYBE2
02231291	18252975	MAYBE2
02235500	10995987	MAYBE2
02244040	16665209	MAYBE2
02245260	16663809	MAYBE2
02264000	21478144	MAYBE2
02266495	21478164	MAYBE2
02319302	166758629	MAYBE2
02320250	2229745	MAYBE2
02322688	2161388	MAYBE2
02323502	2232713	MAYBE2
02323566	933110050	MAYBE2
02344630	6415508	MAYBE2
02344673	6415484	MAYBE2
02423160	21654200	MAYBE2
02473085	18135842	MAYBE2
02489800	15708889	MAYBE2
03039035	4742257	MAYBE2
03039036	4742269	MAYBE2
03039040	11049952	MAYBE2
03039041	11049952	MAYBE2
03049640	11050042	MAYBE2
03067510	3777215	MAYBE2
03071590	3773977	MAYBE2
03071600	3773977	MAYBE2
03071605	3773975	MAYBE2
03071690	3773973	MAYBE2
03072655	3788105	MAYBE2
03077100	3809041	MAYBE2
03085002	3785857	MAYBE2
03108490	3821063	MAYBE2
03121850	19389922	MAYBE2
03220510	5215753	MAYBE2
03228039	5218199	MAYBE2
03254520	2087849	MAYBE2
03255349	3404925	MAYBE2
03259757	3405231	MAYBE2
03259813	3405231	MAYBE2
03277075	3407011	MAYBE2
03277130	3407421	MAYBE2
03289193	1825330	MAYBE2
03293500	10163884	MAYBE2
03293510	10164000	MAYBE2
03297800	10265394	MAYBE2
03302050	10264274	MAYBE2
03343805	10337796	MAYBE2
03401385	10189702	MAYBE2
03428180	18402523	MAYBE2
03430200	18401497	MAYBE2
03431083	18408144	MAYBE2
03431091	18408666	MAYBE2
03431514	18408674	MAYBE2
03432800	18391826	MAYBE2
03612600	1841415	MAYBE2
04121660	12132834	MAYBE2
04124200	12120568	MAYBE2
04136000	12952772	MAYBE2
04137020	12954032	MAYBE2
04137030	12954004	MAYBE2
04167150	10850156	MAYBE2
04168400	10850162	MAYBE2
04182867	15668481	MAYBE2
05435943	13425023	MAYBE2
05435950	13425057	MAYBE2
05579630	13551309	MAYBE2
06454100	16068589	MAYBE2
06799089	17274566	MAYBE2
07020850	5092598	MAYBE2
