# Received from Ted Stets by email on 7/1/2015
# Received by Ted from James Falcone
# Original title: pts640-w-comid5
nwis_id	comid_best	comid_confidence
07053600	7626152	MAYBE2
07055814	11819177	MAYBE2
07061290	7666946	MAYBE2
07144790	21161233	MAYBE2
07332620	8348635	MAYBE2
07332622	8348819	MAYBE2
07374000	19088319	MAYBE2
08041770	1142886	MAYBE2
08049500	1269868	MAYBE2
08052745	1278616	MAYBE2
08067074	1439175	MAYBE2
08155500	5781893	MAYBE2
08180850	10836406	MAYBE2
08371500	309175	MAYBE2
08371500	309175	MAYBE2
08375300	291801	MAYBE2
08420500	943070050	MAYBE2
08437710	3212475	MAYBE2
08447018	3158031	MAYBE2
08447300	333056	MAYBE2
10133800	10276836	MAYBE2
10133980	10276712	MAYBE2
11046062	22549133	MAYBE2
11046072	948070440	MAYBE2
11273400	2829236	MAYBE2
11285500	17078299	MAYBE2
11313433	1889676	MAYBE2
11447830	15059759	MAYBE2
11447850	15059771	MAYBE2
11447890	15059765	MAYBE2
11455139	15048103	MAYBE2
11455146	15048115	MAYBE2
11455315	15048187	MAYBE2
11463682	8272211	MAYBE2
11465240	8272227	MAYBE2
12102012	23981667	MAYBE2
12165800	24274899	MAYBE2
12166000	24274719	MAYBE2
12168997	24274927	MAYBE2
12169500	24275229	MAYBE2
12170000	24274891	MAYBE2
14158100	23763419	MAYBE2
14182500	23780805	MAYBE2
14206694	23804868	MAYBE2
14209710	23809112	MAYBE2
14211010	23809000	MAYBE2
014670261	4488286	MAYBE2
021989715	20107243	MAYBE2
021989773	20107225	MAYBE2
021989792	20107197	MAYBE2
021989793	20107211	MAYBE2
022035975	6321815	MAYBE2
023362095	2048005	MAYBE2
023432415	2306737	MAYBE2
072632995	22848039	MAYBE2
0165389205	22338713	MAYBE2
0166818623	8476452	MAYBE2
0166818985	8476832	MAYBE2
0208062765	10451300	MAYBE2
0208458892	3360042	MAYBE2
0208458893	3358276	MAYBE2
0219897945	20107217	MAYBE2
0219897993	20107257	MAYBE2
291830081362200	10989401	MAYBE2
294213081345300	16665079	MAYBE2
295554095093402	1469610	MAYBE2
295826095082200	1469610	MAYBE2
295827090052800	18910456	MAYBE2
295906090054200	18910424	MAYBE2
300009090051600	18910424	MAYBE2
300026090050800	18910456	MAYBE2
300034090055300	18910424	MAYBE2
300127090045800	18910456	MAYBE2
300128090045800	18910456	MAYBE2
301124081395901	16660943	MAYBE2
302309081333001	16674127	MAYBE2
305215089073600	18109250	MAYBE2
310506089291200	18105458	MAYBE2
310805089141600	18105436	MAYBE2
312514091273400	19123016	MAYBE2
314416091213400	19122120	MAYBE2
323733107011002	2536833	MAYBE2
324007107095501	2536659	MAYBE2
324955107180902	2537301	MAYBE2
330203091020200	938030541	MAYBE2
330359090194135	17998664	MAYBE2
330735090300200	17998638	MAYBE2
331346117243401	22549137	MAYBE2
331623091023700	18057748	MAYBE2
333957091034100	18055910	MAYBE2
340247088560200	18654936	MAYBE2
341436088534500	18683612	MAYBE2
343916088435600	14224335	MAYBE2
351111089512501	14206320	MAYBE2
351113089513401	14206320	MAYBE2
355537086514101	18393808	MAYBE2
355537086514102	18393808	MAYBE2
364200119420001	17142136	MAYBE2
364200119420002	17142136	MAYBE2
375327097285402	21177172	MAYBE2
375332097284802	21177172	MAYBE2
414037088003201	14787047	MAYBE2
414042088003201	14787477	MAYBE2
415007121102001	2556537	MAYBE2
420615121533601	2553651	MAYBE2
420741121554001	2553639	MAYBE2
420853121505501	2553655	MAYBE2
421209121463001	2553631	MAYBE2
421401121480900	948010003	MAYBE2
421410121492000	24091906	MAYBE2
421838121513900	24091916	MAYBE2
421933121550000	24092324	MAYBE2
422042121513100	24091920	MAYBE2
422128121530600	24091920	MAYBE2
422305121553800	24091920	MAYBE2
422305121553803	24091920	MAYBE2
422437121515200	24091920	MAYBE2
422559121574400	24092410	MAYBE2
422622122004000	24092268	MAYBE2
422622122004003	24092268	MAYBE2
422719121571400	24092410	MAYBE2
422749121540700	24091920	MAYBE2
422808122024400	24092230	MAYBE2
422842121584300	24092410	MAYBE2
423124121583400	24091894	MAYBE2
423335121564300	24091898	MAYBE2
431037090043401	13635863	MAYBE2
443320089212303	9033221	MAYBE2
443320089212304	9033221	MAYBE2
444728122450000	23780477	MAYBE2
452230122512201	23805228	MAYBE2
453040123065201	23805050	MAYBE2
453113123003501	23804940	MAYBE2
454705122451400	23737983	MAYBE2
455009119142301	23650760	MAYBE2
455415119314601	947070178	MAYBE2
460939123201600	24522062	MAYBE2
461518123285700	24520950	MAYBE2
02198920	20108953	MAYBE1
03302000	10264124	MAYBE1
04087050	12163788	MAYBE1
04087170	12162696	MAYBE1
05406457	13633277	MAYBE1
06805500	17416032	MAYBE1
11126000	17610189	MAYBE1
14202650	23805136	MAYBE1
375348097262800	21177170	MAYBE1
01021050	5197168	MOST_SURE
01036390	1736862	MOST_SURE
01193050	7701224	MOST_SURE
01388000	6250614	MOST_SURE
01389005	6251122	MOST_SURE
01400500	9513852	MOST_SURE
01408500	9453743	MOST_SURE
01433500	4150156	MOST_SURE
01454700	4188251	MOST_SURE
01458500	2588507	MOST_SURE
01460200	932040295	MOST_SURE
01463500	2590277	MOST_SURE
01465798	4488242	MOST_SURE
01467042	4489170	MOST_SURE
01467048	4489178	MOST_SURE
01467086	4489180	MOST_SURE
01467087	4489096	MOST_SURE
01467200	4495952	MOST_SURE
01472104	4782471	MOST_SURE
01473500	4782501	MOST_SURE
01473900	4781731	MOST_SURE
01474000	4782187	MOST_SURE
01474500	4784831	MOST_SURE
01475530	4495656	MOST_SURE
01480617	4650580	MOST_SURE
01480870	4650548	MOST_SURE
01481000	4652046	MOST_SURE
01481500	4655440	MOST_SURE
01482800	24903566	MOST_SURE
01493112	4765418	MOST_SURE
01540500	2604977	MOST_SURE
01542500	4672391	MOST_SURE
01544500	8134650	MOST_SURE
01548303	8143294	MOST_SURE
01549700	8145248	MOST_SURE
01567000	4699925	MOST_SURE
01608500	8420360	MOST_SURE
01611500	8431736	MOST_SURE
01632900	8441303	MOST_SURE
01645704	4509120	MOST_SURE
01645762	4509040	MOST_SURE
01646000	4509202	MOST_SURE
01646305	4508904	MOST_SURE
01646500	4512772	MOST_SURE
01648010	22338431	MOST_SURE
01649190	22336379	MOST_SURE
01649500	22337975	MOST_SURE
01650800	22338427	MOST_SURE
01654000	22340331	MOST_SURE
01654500	22340329	MOST_SURE
01656903	22338645	MOST_SURE
01673000	8506380	MOST_SURE
02035000	8575903	MOST_SURE
02079500	12049360	MOST_SURE
02081022	10451504	MOST_SURE
02081094	10452322	MOST_SURE
02110500	9069040	MOST_SURE
02110704	9071958	MOST_SURE
02110777	11562016	MOST_SURE
02110802	9071840	MOST_SURE
02110815	9073938	MOST_SURE
02135000	9114416	MOST_SURE
02148315	9721817	MOST_SURE
02156500	9705130	MOST_SURE
02160105	9698941	MOST_SURE
02160700	9691190	MOST_SURE
02169000	9869898	MOST_SURE
02172050	9643573	MOST_SURE
02198840	20107171	MOST_SURE
02203603	6333706	MOST_SURE
02203655	6333720	MOST_SURE
02203700	6334126	MOST_SURE
02203831	6333690	MOST_SURE
02203863	6334112	MOST_SURE
02203873	6334120	MOST_SURE
02203900	6333752	MOST_SURE
02203950	6334110	MOST_SURE
02207135	6333488	MOST_SURE
02234000	10997905	MOST_SURE
02234500	11033091	MOST_SURE
02236000	10989245	MOST_SURE
02236125	10989141	MOST_SURE
02264100	21477692	MOST_SURE
02266200	21477644	MOST_SURE
02266300	21478176	MOST_SURE
02304000	16906571	MOST_SURE
02336120	2047971	MOST_SURE
02336152	2048083	MOST_SURE
02336240	2048013	MOST_SURE
02336300	2047989	MOST_SURE
02336313	2048017	MOST_SURE
02336340	2047893	MOST_SURE
02336360	2047911	MOST_SURE
02336410	2047963	MOST_SURE
02336526	3285608	MOST_SURE
02336728	3285770	MOST_SURE
02337170	3286494	MOST_SURE
02397530	15823427	MOST_SURE
02423130	21654166	MOST_SURE
02423397	21654312	MOST_SURE
02423496	21655568	MOST_SURE
02455980	18565735	MOST_SURE
02457595	18566081	MOST_SURE
02458450	18566201	MOST_SURE
02469100	18546622	MOST_SURE
02492620	15714395	MOST_SURE
03007800	8972788	MOST_SURE
03025500	10222194	MOST_SURE
03027500	6874115	MOST_SURE
03034000	4741709	MOST_SURE
03036000	166808422	MOST_SURE
03058000	3717136	MOST_SURE
03061000	3715602	MOST_SURE
03073000	3789647	MOST_SURE
03075070	3785895	MOST_SURE
03081000	3809023	MOST_SURE
03082500	3806299	MOST_SURE
03083500	3806147	MOST_SURE
03098600	13153643	MOST_SURE
03105500	19464300	MOST_SURE
03106000	10926401	MOST_SURE
03183500	12107522	MOST_SURE
03219500	5215353	MOST_SURE
03228300	5213097	MOST_SURE
03271510	3883750	MOST_SURE
03277200	3407553	MOST_SURE
03292470	10163598	MOST_SURE
03292474	10163710	MOST_SURE
03292475	10163710	MOST_SURE
03292480	10163686	MOST_SURE
03292500	10163886	MOST_SURE
03292550	10163886	MOST_SURE
03293000	10163884	MOST_SURE
03293530	10163728	MOST_SURE
03294570	10163798	MOST_SURE
03297900	10263816	MOST_SURE
03298000	10264510	MOST_SURE
03298135	10264014	MOST_SURE
03298150	10264014	MOST_SURE
03298200	10264192	MOST_SURE
03298250	10264224	MOST_SURE
03298300	10264216	MOST_SURE
03301900	10264004	MOST_SURE
03301940	10264038	MOST_SURE
03302030	10264270	MOST_SURE
03321500	11619101	MOST_SURE
03353200	18476775	MOST_SURE
03374100	18471310	MOST_SURE
03400800	10190044	MOST_SURE
03408500	12154450	MOST_SURE
03409500	12154278	MOST_SURE
03432100	18394236	MOST_SURE
03432350	18393858	MOST_SURE
03432400	18393756	MOST_SURE
03460795	22151067	MOST_SURE
03538830	19710639	MOST_SURE
03539600	19711775	MOST_SURE
03539778	19710283	MOST_SURE
04024000	1777616	MOST_SURE
04027000	1815879	MOST_SURE
04040000	11947215	MOST_SURE
04059500	6860182	MOST_SURE
04067500	6848607	MOST_SURE
04085108	12005979	MOST_SURE
04085427	12173792	MOST_SURE
04087030	12163826	MOST_SURE
04087088	12163882	MOST_SURE
04087119	12163888	MOST_SURE
04087120	12162512	MOST_SURE
04087142	12162512	MOST_SURE
04092750	3398494	MOST_SURE
04095090	3398496	MOST_SURE
04101500	12264996	MOST_SURE
04108660	3468553	MOST_SURE
04119400	9005833	MOST_SURE
04121650	12133526	MOST_SURE
04121680	12134782	MOST_SURE
04121944	12134418	MOST_SURE
04121970	12134842	MOST_SURE
04124000	12121104	MOST_SURE
04125460	12120754	MOST_SURE
04125550	12121294	MOST_SURE
04136500	12952798	MOST_SURE
04136900	12951528	MOST_SURE
04137005	12951570	MOST_SURE
04137025	12954046	MOST_SURE
04137500	12954040	MOST_SURE
04142000	12944890	MOST_SURE
04157005	13204437	MOST_SURE
04165500	13183066	MOST_SURE
04166500	10850144	MOST_SURE
04174500	13176035	MOST_SURE
04176500	13229606	MOST_SURE
04188496	15647198	MOST_SURE
04193490	15636717	MOST_SURE
04195500	15626425	MOST_SURE
04199500	15605376	MOST_SURE
04200500	15597503	MOST_SURE
04208000	15587072	MOST_SURE
04213500	15582369	MOST_SURE
04231600	15537883	MOST_SURE
04249000	21972746	MOST_SURE
05054000	6667867	MOST_SURE
05057000	14269180	MOST_SURE
05057200	14269214	MOST_SURE
05082500	9398232	MOST_SURE
05406469	13633137	MOST_SURE
05406479	13633821	MOST_SURE
05406497	13633047	MOST_SURE
05406500	13633025	MOST_SURE
05418400	13374239	MOST_SURE
05451080	6570914	MOST_SURE
05451210	6572160	MOST_SURE
05515500	13433513	MOST_SURE
05543010	14780226	MOST_SURE
05586300	3607116	MOST_SURE
06336000	14567692	MOST_SURE
06340590	16248681	MOST_SURE
06427850	10900997	MOST_SURE
06436760	5453388	MOST_SURE
06461500	16031404	MOST_SURE
06465500	11645823	MOST_SURE
06610505	17219474	MOST_SURE
06711565	194423	MOST_SURE
06795500	17421926	MOST_SURE
06800500	24750511	MOST_SURE
06805000	17399171	MOST_SURE
06818000	2252949	MOST_SURE
06887500	3644490	MOST_SURE
06892350	3730399	MOST_SURE
06892513	3727673	MOST_SURE
06893300	4392793	MOST_SURE
06893350	4392931	MOST_SURE
06893390	4392783	MOST_SURE
06893620	4390605	MOST_SURE
06893820	4390909	MOST_SURE
06893890	4390979	MOST_SURE
06893970	4390589	MOST_SURE
06894000	4391187	MOST_SURE
06917630	7367067	MOST_SURE
06934500	6013072	MOST_SURE
07048600	8590894	MOST_SURE
07053450	7626356	MOST_SURE
07056515	11817935	MOST_SURE
07060000	7653861	MOST_SURE
07061270	7665728	MOST_SURE
07075250	11777377	MOST_SURE
07075270	11777215	MOST_SURE
07106000	1530529	MOST_SURE
07109500	952589	MOST_SURE
07143672	21176300	MOST_SURE
07144100	21177172	MOST_SURE
07144780	21159337	MOST_SURE
07164500	369211	MOST_SURE
07177500	847292	MOST_SURE
07178200	847450	MOST_SURE
07191222	21770993	MOST_SURE
07198000	402478	MOST_SURE
07239450	391180	MOST_SURE
07241000	393414	MOST_SURE
07241520	414275	MOST_SURE
07241550	414203	MOST_SURE
07257500	7770981	MOST_SURE
07261090	7817578	MOST_SURE
07263296	22846091	MOST_SURE
07381600	15182073	MOST_SURE
08048000	1268410	MOST_SURE
08052700	1278534	MOST_SURE
08057000	942030011	MOST_SURE
08057055	1260371	MOST_SURE
08057410	1260375	MOST_SURE
08062500	1262531	MOST_SURE
08065350	1484774	MOST_SURE
08068000	1468280	MOST_SURE
08068275	1508047	MOST_SURE
08068400	1507967	MOST_SURE
08068500	1508043	MOST_SURE
08069500	1468442	MOST_SURE
08070200	1520083	MOST_SURE
08171290	1629555	MOST_SURE
08180700	10835972	MOST_SURE
08181500	10836092	MOST_SURE
08181800	10840572	MOST_SURE
08188060	3839167	MOST_SURE
08211200	3171770	MOST_SURE
08317400	17834678	MOST_SURE
08374200	281390	MOST_SURE
08374200	281390	MOST_SURE
08374510	291139	MOST_SURE
08374550	291639	MOST_SURE
08377200	285292	MOST_SURE
08377200	285292	MOST_SURE
08412500	3210721	MOST_SURE
08446500	3213331	MOST_SURE
08447000	332712	MOST_SURE
08447410	334022	MOST_SURE
08447410	334022	MOST_SURE
08470500	210083	MOST_SURE
09041400	1231609	MOST_SURE
09258050	18272094	MOST_SURE
09258980	18272390	MOST_SURE
09326500	4877531	MOST_SURE
09406000	10023916	MOST_SURE
10129900	10093082	MOST_SURE
10133650	10276856	MOST_SURE
11044000	22549075	MOST_SURE
11046252	20351625	MOST_SURE
11046372	20351619	MOST_SURE
11337190	1889650	MOST_SURE
11447650	15048349	MOST_SURE
11455350	948021229	MOST_SURE
11455478	15048429	MOST_SURE
11462500	8269119	MOST_SURE
11463000	8271445	MOST_SURE
11463980	8272297	MOST_SURE
11467000	8272725	MOST_SURE
11507501	2553629	MOST_SURE
11509370	2553639	MOST_SURE
12098700	23980809	MOST_SURE
12100490	23981235	MOST_SURE
13013650	23123131	MOST_SURE
13173600	23299878	MOST_SURE
13206400	23400535	MOST_SURE
13207500	23402329	MOST_SURE
13210660	23398651	MOST_SURE
13210815	23398643	MOST_SURE
13211441	23398441	MOST_SURE
13213000	23398297	MOST_SURE
13213072	947050151	MOST_SURE
13213080	23410927	MOST_SURE
13213100	23409945	MOST_SURE
14151000	23752598	MOST_SURE
14152000	23751778	MOST_SURE
14162500	23772909	MOST_SURE
14181500	23780511	MOST_SURE
14202980	23805102	MOST_SURE
14206950	23805270	MOST_SURE
14207200	23804836	MOST_SURE
14210000	23809080	MOST_SURE
14211720	23815040	MOST_SURE
14301500	23875925	MOST_SURE
14302480	23875839	MOST_SURE
14316460	23894292	MOST_SURE
14317450	23894140	MOST_SURE
021720677	9645887	MOST_SURE
021720698	9645947	MOST_SURE
021720709	9629843	MOST_SURE
021720869	9633321	MOST_SURE
040851385	12005077	MOST_SURE
040871488	12164306	MOST_SURE
041482663	13019635	MOST_SURE
071912213	21771121	MOST_SURE
072632966	22848005	MOST_SURE
0208114150	10455800	MOST_SURE
0209303205	10519332	MOST_SURE
375350097262800	21177172	MOST_SURE
385446094430700	4392935	MOST_SURE
385520094420000	4392905	MOST_SURE
385608094380300	4392849	MOST_SURE
410333095530101	17219526	MOST_SURE
412126095565201	17219436	MOST_SURE
420451121510000	2552667	MOST_SURE
420615121533600	2553651	MOST_SURE
420853121505500	2553655	MOST_SURE
421015121471800	2552009	MOST_SURE
421209121463000	2553631	MOST_SURE
433422116323200	23402491	MOST_SURE
434821116444300	23399085	MOST_SURE
453004122510301	23804898	MOST_SURE
453030122560101	23804886	MOST_SURE
01304200	0	NO_COMID
01310740	0	NO_COMID
01311143	0	NO_COMID
01408167	0	NO_COMID
02293249	0	NO_COMID
09327000	0	NO_COMID
15298040	0	NO_COMID
50048565	0	NO_COMID
50048580	0	NO_COMID
50231500	0	NO_COMID
50231505	0	NO_COMID
301527088521500	0	NO_COMID
301912088583300	0	NO_COMID
